geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
104_420,0.6,0.34,0.63,0.38714285714286,1.0
104_420,0.38,0.78,0.66,0.49857142857143,0.86666666666667
104_420,0.65,0.72,0.54,0.56285714285714,1.0
104_420,0.3,0.78,0.76,0.52857142857143,0.8
104_420,0.41,0.3,0.6,0.49428571428571005,1.0
104_420,0.42,0.78,0.85,0.47142857142857003,0.86666666666667
104_420,0.33,0.6,0.84,0.53142857142857,1.0
104_420,0.75,0.68,0.55,0.58285714285714,1.0
104_420,0.64,0.76,0.78,0.5700000000000001,0.86666666666667
104_420,0.74,0.52,0.58,0.52285714285714,1.0
104_420,0.54,0.55,0.77,0.5928571428571401,0.93333333333333
104_420,0.57,0.47,0.34,0.42857142857143,0.86666666666667
104_420,0.65,0.48,0.44,0.47142857142857003,0.8
104_420,0.46,0.72,0.56,0.50428571428571,0.93333333333333
104_420,0.5,0.64,0.76,0.53571428571429,0.86666666666667
104_420,0.81,0.68,0.89,0.59714285714286,0.86666666666667
104_420,0.88,0.62,0.55,0.56428571428571,1.0
104_420,0.6,0.59,0.39,0.41714285714286004,0.73333333333333
104_420,0.47,0.72,0.53,0.5571428571428599,0.73333333333333
104_420,0.5,0.88,0.55,0.50428571428571,1.0
104_420,0.5,0.55,0.45,0.47285714285714003,0.73333333333333
104_420,0.44,0.51,0.41,0.46142857142856997,0.86666666666667
104_420,0.62,0.54,0.85,0.6000000000000001,0.8
104_420,0.4,0.68,0.77,0.50571428571429,1.0
104_420,0.68,0.82,0.56,0.5599999999999999,0.8
104_420,0.34,0.6,0.57,0.48857142857143004,1.0
104_420,0.38,0.49,0.81,0.58428571428571,0.8
104_420,0.71,0.48,0.5,0.51857142857143,0.86666666666667
104_420,0.46,0.78,0.56,0.47428571428571004,1.0
104_420,0.87,0.33,0.67,0.55142857142857,1.0
104_420,0.54,0.75,0.42,0.46857142857143,1.0
104_420,0.54,0.54,0.56,0.52428571428571,1.0
104_420,0.72,0.82,0.65,0.61,0.86666666666667
104_420,0.68,0.61,0.43,0.45428571428571,1.0
104_420,0.45,0.46,0.67,0.41714285714286004,0.8
104_420,0.53,0.32,0.42,0.50428571428571,0.8
104_420,0.45,0.54,0.36,0.34428571428571003,1.0
104_420,0.89,0.52,0.8,0.56428571428571,0.73333333333333
104_420,0.85,0.44,0.75,0.53571428571429,1.0
104_420,0.35,0.35,0.61,0.53,1.0
104_420,0.56,0.4,0.69,0.49000000000000005,1.0
104_420,0.59,0.66,0.45,0.47142857142857003,0.73333333333333
104_420,0.46,0.73,0.51,0.40714285714285997,0.73333333333333
104_420,0.63,0.74,0.4,0.49142857142857005,1.0
104_420,0.78,0.77,0.46,0.49857142857143,1.0
104_420,0.47,0.32,0.62,0.47142857142857003,1.0
104_420,0.42,0.31,0.47,0.4,0.73333333333333
104_420,0.58,0.52,0.3,0.47571428571429,0.73333333333333
104_420,0.51,0.83,0.46,0.49571428571429,1.0
104_420,0.56,0.32,0.48,0.36142857142857004,0.73333333333333
104_420,0.69,0.8,0.6,0.5585714285714299,0.8
104_420,0.57,0.31,0.57,0.45142857142857,1.0
104_420,0.3,0.62,0.8,0.50857142857143,0.8
104_420,0.62,0.75,0.31,0.49857142857143,0.8
104_420,0.76,0.88,0.74,0.5928571428571401,0.73333333333333
