geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
89_422,0.45,0.64,0.39,0.49285714285714005,1.0
89_422,0.59,0.59,0.73,0.56142857142857,0.73333333333333
89_422,0.7,0.35,0.8,0.46428571428570997,0.93333333333333
89_422,0.33,0.8,0.46,0.49571428571429,1.0
89_422,0.56,0.76,0.79,0.5928571428571401,0.86666666666667
89_422,0.89,0.31,0.87,0.52285714285714,1.0
89_422,0.73,0.55,0.83,0.5742857142857101,1.0
89_422,0.66,0.35,0.58,0.54428571428571,1.0
89_422,0.38,0.49,0.46,0.43714285714286005,0.73333333333333
89_422,0.39,0.72,0.68,0.51,0.73333333333333
89_422,0.5,0.46,0.32,0.50142857142857,0.8
89_422,0.84,0.7,0.63,0.57857142857143,1.0
89_422,0.62,0.53,0.6,0.43857142857143006,0.8
89_422,0.64,0.66,0.67,0.56571428571429,0.73333333333333
89_422,0.32,0.87,0.69,0.49571428571429,1.0
89_422,0.75,0.78,0.66,0.54142857142857,0.86666666666667
89_422,0.89,0.64,0.73,0.53142857142857,1.0
89_422,0.82,0.77,0.57,0.66857142857143,1.0
89_422,0.42,0.41,0.66,0.48857142857143004,1.0
89_422,0.82,0.32,0.67,0.5,1.0
89_422,0.35,0.63,0.39,0.43285714285714,0.73333333333333
89_422,0.3,0.66,0.51,0.50142857142857,1.0
89_422,0.8,0.43,0.49,0.50571428571429,1.0
89_422,0.44,0.82,0.61,0.51285714285714,1.0
89_422,0.54,0.64,0.79,0.56285714285714,1.0
89_422,0.39,0.51,0.8,0.53142857142857,0.86666666666667
89_422,0.54,0.88,0.54,0.49285714285714005,0.73333333333333
89_422,0.68,0.87,0.59,0.6014285714285701,0.93333333333333
89_422,0.36,0.86,0.86,0.46857142857143,0.86666666666667
89_422,0.64,0.46,0.51,0.42428571428571005,1.0
89_422,0.35,0.58,0.78,0.53714285714286,0.93333333333333
89_422,0.83,0.36,0.3,0.49857142857143,0.8
89_422,0.76,0.36,0.49,0.50285714285714,1.0
89_422,0.34,0.58,0.69,0.41857142857143004,0.8
89_422,0.49,0.3,0.54,0.48857142857143004,1.0
89_422,0.43,0.71,0.58,0.46142857142856997,1.0
89_422,0.65,0.32,0.83,0.48,1.0
89_422,0.48,0.71,0.52,0.49428571428571005,1.0
89_422,0.59,0.7,0.34,0.46857142857143,0.8
89_422,0.51,0.42,0.72,0.39857142857143,1.0
89_422,0.33,0.5,0.76,0.6000000000000001,1.0
89_422,0.78,0.74,0.49,0.54857142857143,0.8
89_422,0.49,0.61,0.63,0.48,0.73333333333333
89_422,0.81,0.65,0.66,0.5585714285714299,1.0
89_422,0.65,0.85,0.62,0.58142857142857,1.0
89_422,0.43,0.57,0.65,0.43142857142857,0.86666666666667
89_422,0.66,0.32,0.84,0.45,0.86666666666667
89_422,0.71,0.65,0.88,0.5914285714285701,1.0
89_422,0.7,0.45,0.59,0.53428571428571,1.0
89_422,0.39,0.33,0.54,0.52285714285714,1.0
89_422,0.85,0.84,0.32,0.5728571428571401,1.0
89_422,0.51,0.8,0.38,0.50714285714286,0.73333333333333
89_422,0.63,0.43,0.34,0.49142857142857005,0.8
89_422,0.58,0.72,0.76,0.6042857142857101,0.93333333333333
89_422,0.34,0.7,0.54,0.51285714285714,0.8
89_422,0.39,0.57,0.66,0.55,1.0
89_422,0.85,0.51,0.88,0.6357142857142901,0.73333333333333
89_422,0.51,0.42,0.42,0.48571428571429004,1.0
89_422,0.52,0.35,0.67,0.47714285714286,0.73333333333333
89_422,0.75,0.77,0.79,0.5857142857142901,0.73333333333333
89_422,0.58,0.69,0.79,0.48714285714286004,0.93333333333333
89_422,0.75,0.58,0.54,0.5585714285714299,1.0
89_422,0.55,0.85,0.3,0.49000000000000005,0.86666666666667
89_422,0.59,0.34,0.6,0.44000000000000006,0.73333333333333
89_422,0.7,0.43,0.55,0.55142857142857,1.0
89_422,0.4,0.44,0.59,0.43428571428571,0.93333333333333
89_422,0.5,0.32,0.57,0.39571428571429,0.73333333333333
89_422,0.74,0.88,0.77,0.54,1.0
89_422,0.49,0.7,0.76,0.61142857142857,0.8
89_422,0.63,0.52,0.43,0.49571428571429,0.8
89_422,0.65,0.3,0.61,0.52714285714286,1.0
89_422,0.8,0.73,0.4,0.6171428571428601,0.93333333333333
89_422,0.73,0.66,0.87,0.68,1.0
89_422,0.57,0.58,0.66,0.49142857142857005,0.8
89_422,0.69,0.42,0.46,0.46285714285713997,1.0
89_422,0.62,0.74,0.89,0.65428571428571,1.0
89_422,0.35,0.36,0.55,0.44000000000000006,0.73333333333333
89_422,0.51,0.58,0.44,0.36857142857143005,1.0
89_422,0.55,0.52,0.68,0.44714285714286,0.73333333333333
89_422,0.56,0.45,0.73,0.53,0.93333333333333
89_422,0.3,0.84,0.76,0.60571428571429,0.93333333333333
89_422,0.59,0.58,0.33,0.43714285714286005,0.73333333333333
89_422,0.82,0.88,0.59,0.63428571428571,0.8
89_422,0.44,0.32,0.88,0.40714285714285997,0.93333333333333
89_422,0.4,0.84,0.55,0.5857142857142901,0.8
89_422,0.76,0.8,0.34,0.52,1.0
89_422,0.31,0.43,0.34,0.38857142857143,0.73333333333333
89_422,0.74,0.37,0.64,0.50142857142857,1.0
89_422,0.7,0.71,0.45,0.50142857142857,1.0
89_422,0.58,0.36,0.53,0.45428571428571,1.0
89_422,0.73,0.89,0.73,0.54142857142857,1.0
89_422,0.35,0.56,0.81,0.49142857142857005,1.0
89_422,0.8,0.68,0.79,0.47857142857143,0.8
89_422,0.55,0.38,0.34,0.42142857142857004,0.8
89_422,0.45,0.64,0.46,0.43142857142857,0.8
89_422,0.87,0.58,0.87,0.57857142857143,1.0
89_422,0.31,0.52,0.55,0.45285714285714,0.86666666666667
89_422,0.45,0.38,0.37,0.42142857142857004,0.86666666666667
89_422,0.58,0.74,0.82,0.44857142857143,1.0
89_422,0.56,0.39,0.32,0.45857142857142996,0.93333333333333
89_422,0.55,0.89,0.85,0.57714285714286,1.0
89_422,0.89,0.67,0.72,0.54571428571429,0.8
89_422,0.75,0.52,0.87,0.60714285714286,0.86666666666667
89_422,0.61,0.77,0.81,0.53857142857143,0.8
89_422,0.86,0.56,0.84,0.49428571428571005,1.0
89_422,0.45,0.75,0.71,0.5728571428571401,0.73333333333333
89_422,0.67,0.48,0.66,0.45857142857142996,1.0
89_422,0.79,0.51,0.66,0.6000000000000001,0.93333333333333
89_422,0.72,0.64,0.76,0.50571428571429,0.73333333333333
89_422,0.71,0.67,0.75,0.6157142857142901,1.0
89_422,0.44,0.44,0.53,0.41857142857143004,0.93333333333333
89_422,0.76,0.66,0.47,0.54,0.93333333333333
89_422,0.88,0.45,0.58,0.52857142857143,1.0
89_422,0.86,0.66,0.46,0.47428571428571004,0.73333333333333
89_422,0.38,0.3,0.38,0.36571428571429004,0.8
89_422,0.74,0.39,0.4,0.45571428571428996,1.0
89_422,0.33,0.79,0.87,0.54857142857143,0.73333333333333
89_422,0.49,0.59,0.31,0.46857142857143,1.0
89_422,0.52,0.37,0.76,0.47714285714286,1.0
89_422,0.51,0.51,0.72,0.48285714285714,1.0
89_422,0.46,0.81,0.37,0.41142857142857,1.0
89_422,0.37,0.7,0.42,0.50714285714286,0.93333333333333
89_422,0.36,0.35,0.57,0.48571428571429004,1.0
89_422,0.56,0.54,0.44,0.49857142857143,0.86666666666667
89_422,0.84,0.72,0.72,0.62714285714286,1.0
89_422,0.85,0.31,0.34,0.48714285714286004,0.8
89_422,0.89,0.89,0.38,0.6242857142857101,1.0
89_422,0.84,0.75,0.82,0.71,1.0
89_422,0.86,0.34,0.67,0.54714285714286,0.86666666666667
89_422,0.83,0.83,0.62,0.5742857142857101,1.0
89_422,0.58,0.56,0.33,0.46714285714286,0.8
89_422,0.74,0.67,0.75,0.56285714285714,0.73333333333333
89_422,0.65,0.77,0.59,0.51857142857143,0.73333333333333
89_422,0.63,0.37,0.4,0.45714285714285996,0.8
89_422,0.81,0.73,0.42,0.5885714285714301,0.86666666666667
89_422,0.62,0.32,0.31,0.44571428571429,0.73333333333333
89_422,0.64,0.45,0.43,0.45428571428571,0.93333333333333
89_422,0.45,0.5,0.49,0.36428571428571005,0.93333333333333
89_422,0.73,0.74,0.32,0.51142857142857,0.86666666666667
89_422,0.53,0.78,0.88,0.5599999999999999,0.93333333333333
89_422,0.58,0.77,0.69,0.5885714285714301,1.0
89_422,0.42,0.43,0.56,0.49571428571429,1.0
89_422,0.8,0.37,0.32,0.42857142857143,0.8
89_422,0.86,0.77,0.37,0.51857142857143,0.73333333333333
89_422,0.81,0.87,0.64,0.5,0.8
89_422,0.44,0.63,0.73,0.45428571428571,0.8
89_422,0.77,0.4,0.71,0.49000000000000005,1.0
89_422,0.45,0.46,0.47,0.41285714285714,0.73333333333333
89_422,0.54,0.59,0.6,0.50428571428571,0.8
89_422,0.52,0.7,0.4,0.46571428571429,0.8
89_422,0.37,0.4,0.68,0.42428571428571005,1.0
89_422,0.75,0.75,0.76,0.52,0.73333333333333
89_422,0.48,0.77,0.49,0.48428571428571,1.0
89_422,0.47,0.8,0.45,0.53857142857143,0.86666666666667
89_422,0.75,0.45,0.87,0.52714285714286,1.0
89_422,0.47,0.34,0.66,0.39285714285714,1.0
89_422,0.45,0.86,0.36,0.49000000000000005,0.73333333333333
89_422,0.64,0.42,0.74,0.5914285714285701,0.93333333333333
89_422,0.51,0.59,0.41,0.41714285714286004,0.86666666666667
