geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
105_438,0.5,0.31,0.65,0.48428571428571,1.0
105_438,0.77,0.69,0.45,0.49285714285714005,1.0
105_438,0.77,0.81,0.64,0.56571428571429,1.0
105_438,0.7,0.31,0.42,0.48142857142857,0.93333333333333
105_438,0.72,0.73,0.36,0.44571428571429,1.0
105_438,0.79,0.79,0.67,0.66,1.0
105_438,0.34,0.4,0.68,0.45142857142857,0.93333333333333
105_438,0.7,0.88,0.31,0.46142857142856997,1.0
105_438,0.33,0.47,0.62,0.49714285714286,0.73333333333333
105_438,0.59,0.85,0.44,0.47857142857143,1.0
105_438,0.82,0.38,0.39,0.43142857142857,0.73333333333333
105_438,0.74,0.35,0.79,0.58285714285714,0.73333333333333
105_438,0.65,0.34,0.49,0.45142857142857,0.8
105_438,0.84,0.7,0.39,0.45714285714285996,0.93333333333333
105_438,0.71,0.54,0.3,0.49714285714286,1.0
105_438,0.6,0.51,0.59,0.53571428571429,0.93333333333333
105_438,0.39,0.35,0.68,0.52285714285714,0.86666666666667
105_438,0.38,0.33,0.48,0.40714285714285997,0.86666666666667
105_438,0.69,0.43,0.66,0.56285714285714,1.0
105_438,0.63,0.58,0.46,0.48857142857143004,0.86666666666667
105_438,0.74,0.35,0.47,0.50428571428571,0.73333333333333
105_438,0.44,0.73,0.82,0.52857142857143,1.0
105_438,0.82,0.86,0.82,0.60857142857143,0.8
105_438,0.42,0.51,0.43,0.44142857142857006,1.0
105_438,0.77,0.77,0.51,0.56571428571429,0.93333333333333
105_438,0.55,0.62,0.53,0.48857142857143004,1.0
105_438,0.8,0.64,0.69,0.5585714285714299,0.86666666666667
105_438,0.5,0.78,0.82,0.6042857142857101,1.0
105_438,0.42,0.63,0.33,0.53142857142857,1.0
105_438,0.51,0.86,0.84,0.5857142857142901,0.73333333333333
105_438,0.5,0.59,0.53,0.42857142857143,0.73333333333333
105_438,0.34,0.83,0.58,0.54,1.0
105_438,0.46,0.76,0.35,0.48285714285714,0.93333333333333
105_438,0.75,0.78,0.62,0.49142857142857005,1.0
105_438,0.4,0.82,0.55,0.49714285714286,0.8
105_438,0.54,0.53,0.88,0.49857142857143,1.0
105_438,0.42,0.52,0.54,0.51857142857143,1.0
105_438,0.55,0.88,0.81,0.6357142857142901,0.93333333333333
105_438,0.78,0.35,0.34,0.50285714285714,0.93333333333333
105_438,0.51,0.35,0.36,0.45142857142857,0.86666666666667
105_438,0.89,0.62,0.89,0.62857142857143,1.0
105_438,0.82,0.79,0.48,0.5928571428571401,0.73333333333333
105_438,0.58,0.73,0.75,0.5671428571428601,0.86666666666667
105_438,0.73,0.32,0.63,0.53571428571429,0.86666666666667
105_438,0.64,0.34,0.49,0.49571428571429,0.73333333333333
105_438,0.87,0.49,0.5,0.52428571428571,0.86666666666667
105_438,0.88,0.46,0.43,0.50857142857143,0.73333333333333
105_438,0.74,0.78,0.61,0.6442857142857101,1.0
105_438,0.85,0.63,0.62,0.54714285714286,0.8
105_438,0.63,0.69,0.39,0.51142857142857,0.73333333333333
105_438,0.48,0.64,0.31,0.46428571428570997,0.8
105_438,0.59,0.46,0.8,0.5700000000000001,1.0
105_438,0.36,0.84,0.81,0.50714285714286,1.0
105_438,0.72,0.81,0.64,0.57714285714286,0.8
105_438,0.77,0.72,0.32,0.46142857142856997,0.73333333333333
105_438,0.8,0.49,0.84,0.59714285714286,1.0
105_438,0.84,0.66,0.34,0.52285714285714,0.86666666666667
105_438,0.7,0.8,0.3,0.49428571428571005,1.0
105_438,0.4,0.56,0.84,0.53285714285714,1.0
105_438,0.34,0.68,0.83,0.48428571428571,1.0
105_438,0.72,0.85,0.81,0.59571428571429,0.86666666666667
105_438,0.62,0.56,0.48,0.49285714285714005,1.0
105_438,0.82,0.76,0.81,0.5685714285714301,0.93333333333333
105_438,0.48,0.39,0.59,0.40857142857143,0.93333333333333
105_438,0.53,0.32,0.6,0.42285714285714004,1.0
105_438,0.48,0.88,0.89,0.56285714285714,0.93333333333333
105_438,0.37,0.67,0.41,0.44000000000000006,1.0
105_438,0.73,0.78,0.86,0.59571428571429,0.93333333333333
105_438,0.74,0.45,0.57,0.44428571428571006,0.73333333333333
105_438,0.37,0.89,0.72,0.51285714285714,0.86666666666667
105_438,0.62,0.66,0.63,0.58,0.86666666666667
105_438,0.44,0.63,0.39,0.50142857142857,0.93333333333333
105_438,0.53,0.73,0.7,0.58142857142857,0.8
105_438,0.79,0.79,0.3,0.53,1.0
105_438,0.34,0.67,0.56,0.39142857142857,1.0
105_438,0.4,0.47,0.6,0.53571428571429,0.93333333333333
105_438,0.76,0.4,0.34,0.46857142857143,1.0
105_438,0.37,0.83,0.79,0.53142857142857,0.86666666666667
105_438,0.64,0.8,0.5,0.5685714285714301,0.93333333333333
