geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment,score,score2
73_439,0.445,0.61,0.5,0.46571428571428997,0.933333333333335,0,1
73_444,0.545,0.76,0.665,0.53357142857143,1.0,1,1
73_446,0.5,0.69,0.4,0.45,0.8,0,1
74_412,0.6,0.69,0.55,0.52,0.8,1,1
74_419,0.8,0.6,0.49,0.56285714285714,0.73333333333333,1,1
74_420,0.55,0.34,0.76,0.48714285714286004,0.93333333333333,0,1
74_424,0.48250000000000004,0.4925,0.64,0.4625,0.85,0,1
74_432,0.735,0.525,0.84,0.542857142857145,1.0,1,1
74_434,0.78,0.78,0.79,0.64857142857143,0.86666666666667,1,1
74_446,0.56,0.645,0.5800000000000001,0.522142857142855,1.0,1,1
74_450,0.495,0.395,0.555,0.462142857142855,0.966666666666665,0,1
74_457,0.37,0.52,0.7,0.43571428571429005,0.73333333333333,0,1
75_414,0.88,0.61,0.7849999999999999,0.571428571428575,0.8666666666666649,1,1
75_417,0.8,0.735,0.475,0.5778571428571401,0.8333333333333299,1,1
75_420,0.5800000000000001,0.75,0.565,0.55142857142857,1.0,1,1
75_421,0.65,0.64,0.86,0.53857142857143,0.73333333333333,1,1
75_422,0.68,0.84,0.77,0.59857142857143,0.73333333333333,1,1
75_423,0.88,0.555,0.745,0.568571428571425,0.866666666666665,1,1
75_424,0.5375,0.72,0.5675,0.5110714285714301,0.9333333333333325,1,1
75_427,0.77,0.535,0.675,0.524285714285715,0.933333333333335,1,1
75_428,0.73,0.585,0.425,0.51285714285714,0.933333333333335,1,1
75_435,0.48,0.86,0.71,0.51285714285714,0.8,1,1
75_436,0.81,0.83,0.87,0.54857142857143,1.0,1,1
75_437,0.3,0.32,0.44,0.32142857142857006,0.93333333333333,0,1
75_445,0.83,0.35,0.37,0.48571428571429004,1.0,0,1
75_449,0.48,0.745,0.55,0.5714285714285751,0.933333333333335,1,1
75_458,0.83,0.64,0.5700000000000001,0.587142857142855,1.0,1,1
76_413,0.37,0.69,0.7050000000000001,0.530714285714285,1.0,1,1
76_415,0.6699999999999999,0.635,0.32,0.48857142857142505,0.8666666666666649,0,1
76_416,0.85,0.41,0.3,0.54571428571429,1.0,1,1
76_417,0.65,0.46,0.78,0.49571428571429,0.93333333333333,0,1
76_425,0.665,0.58,0.48,0.5707142857142851,0.766666666666665,1,1
76_426,0.49,0.35,0.44,0.47142857142857003,0.73333333333333,0,1
76_428,0.6499999999999999,0.62,0.515,0.517142857142855,0.9,1,1
76_431,0.5,0.42,0.3,0.42285714285714004,0.86666666666667,0,1
76_438,0.37,0.76,0.64,0.48428571428571,0.86666666666667,0,1
76_439,0.8200000000000001,0.73,0.72,0.5549999999999999,0.8666666666666649,1,1
76_442,0.42,0.55,0.88,0.53857142857143,0.8,1,1
77_413,0.45499999999999996,0.675,0.41000000000000003,0.485714285714285,0.933333333333335,0,1
77_414,0.54,0.87,0.69,0.55285714285714,0.93333333333333,1,1
77_421,0.59,0.64,0.67,0.57714285714286,0.73333333333333,1,1
77_423,0.41,0.89,0.66,0.51857142857143,0.8,1,1
77_427,0.35,0.5,0.69,0.40714285714285997,0.93333333333333,0,1
77_436,0.42,0.45,0.46,0.44857142857143,0.93333333333333,0,1
77_439,0.5466666666666667,0.49666666666666665,0.5666666666666668,0.49714285714285666,0.8666666666666667,0,1
77_448,0.82,0.33,0.3,0.50714285714286,0.73333333333333,1,1
78_410,0.75,0.36,0.5650000000000001,0.504285714285715,0.933333333333335,1,1
78_414,0.42,0.89,0.42,0.48714285714286004,1.0,0,1
78_415,0.45,0.665,0.565,0.4650000000000001,0.966666666666665,0,1
78_421,0.69,0.37,0.405,0.49214285714286,0.8666666666666649,0,1
78_422,0.64,0.32,0.48,0.41857142857143004,1.0,0,1
78_423,0.64,0.45999999999999996,0.81,0.46785714285714,0.8,0,1
78_425,0.605,0.515,0.67,0.49,0.9,0,1
78_432,0.57,0.3333333333333333,0.3866666666666667,0.43190476190476335,0.8888888888888901,0,1
78_439,0.6325,0.7275,0.675,0.570357142857145,0.866666666666665,1,1
78_440,0.5,0.34,0.55,0.37714285714286006,0.93333333333333,0,1
78_442,0.5249999999999999,0.48,0.7,0.48357142857142504,0.8666666666666649,0,1
78_445,0.44,0.53,0.34,0.4,0.73333333333333,0,1
78_449,0.545,0.8500000000000001,0.45999999999999996,0.52642857142857,0.866666666666665,1,1
79_410,0.39,0.63,0.55,0.44142857142857006,0.8,0,1
79_413,0.57,0.55,0.685,0.5025000000000001,0.9333333333333325,1,1
79_415,0.59,0.675,0.39,0.54285714285714,0.9,1,1
79_416,0.7533333333333333,0.4066666666666667,0.8266666666666667,0.5728571428571434,1.0,1,1
79_423,0.44499999999999995,0.7,0.63,0.542857142857145,0.933333333333335,1,1
79_424,0.85,0.655,0.5700000000000001,0.58214285714286,1.0,1,1
79_427,0.5575,0.525,0.6525000000000001,0.4878571428571425,0.9166666666666675,0,1
79_428,0.5599999999999999,0.7050000000000001,0.75,0.565714285714285,0.966666666666665,1,1
79_431,0.49,0.87,0.44,0.5557142857142899,0.73333333333333,1,1
79_436,0.51,0.46,0.59,0.47000000000000003,1.0,0,1
79_439,0.54,0.34,0.38,0.42285714285714004,1.0,0,1
79_442,0.32,0.35,0.83,0.52428571428571,0.73333333333333,1,1
79_443,0.61,0.58,0.65,0.46714285714286,0.73333333333333,0,1
80_415,0.5633333333333334,0.6633333333333334,0.6699999999999999,0.54666666666667,0.9777777777777766,1,1
80_416,0.405,0.4,0.5800000000000001,0.42428571428571504,0.966666666666665,0,1
80_425,0.616,0.5599999999999999,0.6900000000000001,0.48200000000000004,0.8933333333333341,0,1
80_426,0.35,0.53,0.45,0.44857142857143,0.73333333333333,0,1
80_433,0.39,0.45499999999999996,0.565,0.47071428571428503,0.866666666666665,0,1
80_444,0.48,0.6,0.61,0.45142857142857,1.0,0,1
81_422,0.685,0.735,0.55,0.5635714285714299,1.0,1,1
81_423,0.635,0.495,0.525,0.515,0.866666666666665,1,1
81_428,0.525,0.725,0.62,0.49642857142857,0.9,0,1
81_446,0.32,0.45,0.42,0.45857142857142996,0.8,0,1
81_447,0.59,0.48,0.49,0.50714285714286,0.86666666666667,1,1
81_450,0.47,0.35,0.55,0.46857142857143,0.73333333333333,0,1
82_417,0.6933333333333334,0.4566666666666667,0.7633333333333333,0.49619047619047335,0.8666666666666667,0,1
82_426,0.41,0.5,0.61,0.48285714285714,0.73333333333333,0,1
82_428,0.75,0.47,0.64,0.53714285714286,0.93333333333333,1,1
82_431,0.49,0.5,0.52,0.48428571428571,1.0,0,1
82_433,0.45499999999999996,0.425,0.7050000000000001,0.43428571428571006,0.8666666666666649,0,1
82_434,0.5833333333333334,0.49333333333333335,0.6133333333333334,0.4480952380952367,0.91111111111111,0,1
82_441,0.6000000000000001,0.54,0.565,0.542857142857145,0.9,1,1
82_446,0.42,0.74,0.57,0.485714285714285,0.933333333333335,0,1
82_452,0.67,0.7,0.515,0.555,0.8666666666666649,1,1
83_412,0.88,0.78,0.84,0.5871428571428601,1.0,1,1
83_413,0.685,0.585,0.585,0.52857142857143,1.0,1,1
83_414,0.725,0.425,0.725,0.519285714285715,0.8333333333333299,1,1
83_423,0.71,0.44,0.56,0.52,0.73333333333333,1,1
83_452,0.87,0.635,0.685,0.539285714285715,0.9,1,1
